address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Воронежская обл, г Острогожск",397837,Россия,Центральный,обл,Воронежская,р-н,Острогожский,г,Острогожск,,,3602000100000,8434550d-dd9b-4bc7-8e5b-d43a991753e2,4,1,20231501000,20631101001,3652,UTC+3,50.8677905,39.0407746,33842,1652
"Воронежская обл, г Павловск",396420,Россия,Центральный,обл,Воронежская,р-н,Павловский,г,Павловск,,,3602100100000,f4a89d85-b770-4d58-b205-31165a9958b8,4,1,20233501000,20633101001,3652,UTC+3,50.453455,40.136874,25126,1709
"Воронежская обл, г Поворино",397350,Россия,Центральный,обл,Воронежская,р-н,Поворинский,г,Поворино,,,3602400100000,9cb55edf-0fb2-46af-8f00-02b15c2f1644,4,1,20239501000,20639101001,3604,UTC+3,51.1954419,42.2472726,17692,1870
"Воронежская обл, г Россошь",396650,Россия,Центральный,обл,Воронежская,р-н,Россошанский,г,Россошь,,,3602800100000,1ed74fcf-2dd0-460a-99b9-029ca382517d,4,1,20247501000,20647101001,3652,UTC+3,50.1701949,39.6226965,62865,1600
"Воронежская обл, г Семилуки",396900,Россия,Центральный,обл,Воронежская,р-н,Семилукский,г,Семилуки,,,3602900100000,15d507b5-f67e-4ee6-9f25-683562699fac,4,1,20249501000,20649101001,3666,UTC+3,51.6951644,39.0190454,26025,1615
"Воронежская обл, г Эртиль",397030,Россия,Центральный,обл,Воронежская,р-н,Эртильский,г,Эртиль,,,3603300100000,fdbadb36-e4f6-4843-8f1f-80bd4fb4381e,4,1,20258501000,20658101001,3604,UTC+3,51.830932,40.8074182,11387,1897
"Респ Дагестан, г Буйнакск",368220,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Буйнакск,,,0500001000000,fab58303-fb09-422e-aeb7-6fdb5dfe7941,4,0,82405000000,82705000001,0507,UTC+3,42.8214424,47.1165263,65735,1834
"Респ Дагестан, г Дагестанские Огни",368670,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Дагестанские Огни,,,0500000200000,8b4a997b-1e70-402a-a56a-e93c81d0ff20,4,0,82408000000,82708000001,0550,UTC+3,42.1152296,48.1939354,30671,1914
"Респ Дагестан, г Дербент",368000,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Дербент,,,0500000600000,1bde5cf4-7943-4b17-9718-2c1d96742be5,4,0,82410000000,82710000001,0542,UTC+3,42.058966,48.2907452,119961,438
"Респ Дагестан, г Избербаш",368500,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Избербаш,,,0500000300000,bf14786f-6c0e-4369-8907-57f9d3fd93ac,4,0,82415000000,82715000001,0548,UTC+3,42.5650962,47.8710051,56301,1932
"Респ Дагестан, г Каспийск",368300,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Каспийск,,,0500000400000,a8695cce-c623-4451-bb47-2d69ab22092a,4,0,82420000000,82720000001,0554,UTC+3,42.8916007,47.6367066,103914,1932
"Респ Дагестан, г Кизилюрт",368120,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Кизилюрт,,,0500000700000,efc8a6e2-ffab-4d69-a35b-019bfe89745e,4,0,82425000000,82725000001,0546,UTC+3,43.203825,46.8729636,36187,1963
"Респ Дагестан, г Кизляр",368830,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Кизляр,,,0500000800000,e18e67f7-e62a-4abe-853c-ffb8e5ab57e1,4,0,82430000000,82730000001,0547,UTC+3,43.8484083,46.7233699,49169,1735
г Махачкала,367000,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Махачкала,,,0500000100000,727cdf1e-1b70-4e07-8995-9bf7ca9abefb,4,2,82401000000,82701000001,0500,UTC+3,42.9849159,47.5047181,577990,1844
"Респ Дагестан, г Хасавюрт",368000,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Хасавюрт,,,0500000900000,b10ca6a7-e9c0-4382-b939-4787aaf43a58,4,0,82435000000,82735000001,0544,UTC+3,43.2504665,46.5851292,133929,1846
"Респ Дагестан, г Южно-Сухокумск",368890,Россия,Северо-Кавказский,Респ,Дагестан,,,г,Южно-Сухокумск,,,0500000500000,733221a2-f789-4dda-a3f4-e41c88b6cfbd,4,0,82438000000,82738000001,0547,UTC+3,44.6602467,45.6499523,10048,1958
г Биробиджан,679002,Россия,Дальневосточный,Аобл,Еврейская,,,г,Биробиджан,,,7900000100000,5d133391-46ee-496b-83a6-efeeaa903643,4,2,99401000000,99701000001,7900,UTC+10,48.7946446,132.9217207,75419,1915
"Еврейская Аобл, г Облучье",679100,Россия,Дальневосточный,Аобл,Еврейская,р-н,Облученский,г,Облучье,,,7900300100000,b60c1e9f-9355-47ef-b5a3-82906d074bd4,4,1,99220501000,99620101001,7900,UTC+10,49.0189345,131.0540102,9379,1911
"Забайкальский край, г Балей",673450,Россия,Дальневосточный,край,Забайкальский,р-н,Балейский,г,Балей,,,7500400100000,29a51a64-5ca3-4cc6-87ff-9cdfcc17642e,4,1,76206501000,76606101001,7527,UTC+9,51.5823759,116.6379549,12536,1736
"Забайкальский край, г Борзя",674600,Россия,Дальневосточный,край,Забайкальский,р-н,Борзинский,г,Борзя,,,7500500100000,d4b135b9-4504-4bae-8585-da058d350f58,4,1,76209501000,76609101001,7505,UTC+9,50.3876058,116.5234779,31376,1899
"Забайкальский край, г Краснокаменск",674670,Россия,Дальневосточный,край,Забайкальский,р-н,Краснокаменский,г,Краснокаменск,,,7501100100000,3c9d5e9e-2922-4e9e-9e49-dbe6faf01fb2,4,1,76221501000,76621101001,7530,UTC+9,50.0929703,118.0323936,55668,1967
"Забайкальский край, г Могоча",673730,Россия,Дальневосточный,край,Забайкальский,р-н,Могочинский,г,Могоча,,,7501400100000,29eb6b99-27ad-493c-9fd1-a83fe8acdf24,4,1,76226501000,76626101001,7527,UTC+9,53.7361398,119.7660867,13228,1910
"Забайкальский край, г Нерчинск",673400,Россия,Дальневосточный,край,Забайкальский,р-н,Нерчинский,г,Нерчинск,,,7501500100000,ba325548-ac92-4a21-904b-bb535e5fe249,4,1,76228501000,76628101001,7513,UTC+9,51.9594977,116.5852383,14976,1653
"Забайкальский край, г Петровск-Забайкальский",673000,Россия,Дальневосточный,край,Забайкальский,р-н,Петровск-Забайкальский,г,Петровск-Забайкальский,,,7501900100000,b26bb2c1-f79b-4c97-9d2d-e73790cfe622,4,1,76236501000,76715000001,7538,UTC+9,51.2748592,108.846681,18555,1789
"Забайкальский край, г Сретенск",673500,Россия,Дальневосточный,край,Забайкальский,р-н,Сретенский,г,Сретенск,,,7502100100000,f9dd7993-4953-4980-bbcc-2666b94b2a06,4,1,76240501000,76640101001,7513,UTC+9,52.2461454,117.7117842,6850,1689
"Забайкальский край, г Хилок",673200,Россия,Дальневосточный,край,Забайкальский,р-н,Хилокский,г,Хилок,,,7502500100000,a4b18a69-c5df-4022-ba9b-a29f99acfa42,4,1,76247501000,76647101001,7538,UTC+9,51.3634856,110.4590898,11530,1895
г Чита,672000,Россия,Дальневосточный,край,Забайкальский,,,г,Чита,,,7500000100000,2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c,4,2,76401000000,76701000001,7536,UTC+9,52.0340142,113.4994,323964,1653
"Забайкальский край, г Шилка",673303,Россия,Дальневосточный,край,Забайкальский,р-н,Шилкинский,г,Шилка,,,7502800100000,69efa85f-c9d7-44bb-bcda-95205cd1a647,4,1,76254501000,76654101001,7527,UTC+9,51.8497035,116.0334461,13947,1897
"Ивановская обл, г Вичуга",155330,Россия,Центральный,обл,Ивановская,р-н,Вичугский,г,Вичуга,,,3700300100000,3d518b4e-86b2-48d5-bcf3-48f107165918,4,1,24403000000,24703000001,3703,UTC+3,57.2044698,41.9132201,37609,1925
"Ивановская обл, г Гаврилов Посад",155000,Россия,Центральный,обл,Ивановская,р-н,Гаврилово-Посадский,г,Гаврилов Посад,,,3700400100000,3f81927e-bc4b-45c7-a962-b80c0e216115,4,1,24203501000,24603101001,3704,UTC+3,56.5586946,40.1228906,6434,1434
"Ивановская обл, г Заволжск",155410,Россия,Центральный,обл,Ивановская,р-н,Заволжский,г,Заволжск,,,3700500100000,3bf1c329-e556-4d56-82d0-3b1b42b298da,4,1,24205501000,24605101001,3703,UTC+3,57.4918141,42.1375625,12045,1800
г Иваново,153000,Россия,Центральный,обл,Ивановская,,,г,Иваново,,,3700000100000,40c6863e-2a5f-4033-a377-3416533948bd,4,2,24401000000,24701000001,3702,UTC+3,56.9993792,40.9728272,409277,1561
"Ивановская обл, г Кинешма",155800,Россия,Центральный,обл,Ивановская,,,г,Кинешма,,,3700000200000,df284e77-a45c-411d-8901-94c91f4a92e5,4,0,24405000000,24705000001,3703,UTC+3,57.4425463,42.168914,88113,1429
"Ивановская обл, г Комсомольск",155150,Россия,Центральный,обл,Ивановская,р-н,Комсомольский,г,Комсомольск,,,3700800100000,d812b7bf-68de-4e11-95d6-39f7c8ec111e,4,1,24213501000,24613101001,3704,UTC+3,57.0273052,40.3776851,8693,1931
"Ивановская обл, г Кохма",153510,Россия,Центральный,обл,Ивановская,р-н,Ивановский,г,Кохма,,,3700100200000,022e301b-514f-477f-9d1e-f60430c40429,4,1,24207504000,24706000001,3711,UTC+3,56.9324606,41.0931657,29408,1619
"Ивановская обл, Кинешемский р-н, г Наволоки",155830,Россия,Центральный,обл,Ивановская,р-н,Кинешемский,г,Наволоки,,,3700700200000,36d31ef0-a525-4be4-a6e9-28ced781dfae,4,0,24211504000,24611104001,3703,UTC+3,57.4679066,41.9608002,10207,1775
"Ивановская обл, Приволжский р-н, г Плес",155555,Россия,Центральный,обл,Ивановская,р-н,Приволжский,г,Плес,,,3701300200000,8bb29a7a-de9c-4c21-ad15-3af39f0a41fa,4,0,24220504000,24620104001,3705,UTC+3,57.4606031,41.5122672,2341,1410
"Ивановская обл, г Приволжск",155550,Россия,Центральный,обл,Ивановская,р-н,Приволжский,г,Приволжск,,,3701300100000,43706edd-5cf4-4400-8e60-03ea3660c25f,4,1,24220506000,24620106001,3705,UTC+3,57.3805743,41.2808565,16749,1484
"Ивановская обл, г Пучеж",155360,Россия,Центральный,обл,Ивановская,р-н,Пучежский,г,Пучеж,,,3701400100000,a85feb12-89e9-441d-956a-8510493cdc8d,4,1,24221501000,24621101001,3706,UTC+3,56.9820688,43.1683321,8583,1594
"Ивановская обл, г Родники",155250,Россия,Центральный,обл,Ивановская,р-н,Родниковский,г,Родники,,,3701500100000,90328f6e-d961-48ba-ab03-366d93df3c07,4,1,24223501000,24623101001,3703,UTC+3,57.1025975,41.7298834,26318,1606
"Ивановская обл, г Тейково",155040,Россия,Центральный,обл,Ивановская,р-н,Тейковский,г,Тейково,,,3701700100000,09a16212-dcce-4f9a-be1a-515911beaba3,4,1,24407000000,24707000001,3704,UTC+3,56.8542719,40.5353874,34993,1600
"Ивановская обл, г Фурманов",155520,Россия,Центральный,обл,Ивановская,р-н,Фурмановский,г,Фурманов,,,3701800100000,9d56ad01-abe9-4f14-89e5-9af4544b94b2,4,1,24231000000,24631101001,3705,UTC+3,57.2539276,41.1054432,36149,1918
"Ивановская обл, г Шуя",155900,Россия,Центральный,обл,Ивановская,р-н,Шуйский,г,Шуя,,,3701900100000,a6c7e92c-79cf-4b47-beb6-40192295c559,4,1,24411000000,24711000001,3706,UTC+3,56.8560234,41.3800939,58528,1394
"Ивановская обл, г Южа",155630,Россия,Центральный,обл,Ивановская,р-н,Южский,г,Южа,,,3702000100000,16c1333c-8766-4135-a29a-e08f959e60bc,4,1,24235501000,24635101001,3706,UTC+3,56.5926877,42.0458099,14170,1628
"Ивановская обл, г Юрьевец",155450,Россия,Центральный,обл,Ивановская,р-н,Юрьевецкий,г,Юрьевец,,,3702100100000,be9d618e-8dc4-498f-aed6-03ce38f82683,4,1,24237501000,24637101001,3706,UTC+3,57.3177781,43.1110401,10205,1225
"Респ Ингушетия, г Карабулак",386230,Россия,Северо-Кавказский,Респ,Ингушетия,,,г,Карабулак,,,0600000200000,2c33c72e-642b-4a7e-afe5-982f5adf6b17,4,0,26408000000,26710000001,0600,UTC+3,43.3055248,44.9094582,31081,1859
г Магас,386001,Россия,Северо-Кавказский,Респ,Ингушетия,,,г,Магас,,,0600000100000,c801edb4-aba2-4e1d-9ab2-69fcbf0aeb9c,4,2,26401000000,26701000001,0600,UTC+3,43.1688611,44.8131207,2505,1995
"Респ Ингушетия, г Малгобек",386300,Россия,Северо-Кавказский,Респ,Ингушетия,,,г,Малгобек,,,0600000400000,5c318987-0763-4822-9c57-0d55e40fb9d7,4,0,26405000000,26715000001,0600,UTC+3,43.5096646,44.5901963,31076,1934
"Респ Ингушетия, г Назрань",386100,Россия,Северо-Кавказский,Респ,Ингушетия,,,г,Назрань,,,0600000300000,815566a1-04ea-44a9-b34b-25b70ac9aa9a,4,1,26406000000,26706000001,0600,UTC+3,43.2257841,44.7645779,93357,1781
"Респ Ингушетия, г Сунжа",386200,Россия,Северо-Кавказский,Респ,Ингушетия,,,г,Сунжа,,,0600000500000,0effcc07-1b12-4570-9951-23523c06c858,4,1,26230835001,26720000001,0600,UTC+3,43.3204196,45.0476331,64493,1845
"Иркутская обл, Нижнеудинский р-н, г Алзамай",665160,Россия,Сибирский,обл,Иркутская,р-н,Нижнеудинский,г,Алзамай,,,3801600200000,a7812582-bd5d-4d13-b284-d2b052265e9d,4,0,25228508000,25628105001,3816,UTC+8,55.5551233,98.6643699,6751,1899
"Иркутская обл, г Ангарск",665800,Россия,Сибирский,обл,Иркутская,,,г,Ангарск,,,3800000400000,82b6b7c8-82a4-44b2-8bc7-691373706b89,4,0,25203501000,25703000001,3801,UTC+8,52.544879,103.888543,233765,1948
"Иркутская обл, Слюдянский р-н, г Байкальск",665930,Россия,Сибирский,обл,Иркутская,р-н,Слюдянский,г,Байкальск,,,3801800200000,cd4477e8-3335-442a-a0a4-9429a52f5c52,4,0,25234508000,25634108001,3810,UTC+8,51.5230393,104.1487532,13589,1961
"Иркутская обл, Тайшетский р-н, г Бирюсинск",665050,Россия,Сибирский,обл,Иркутская,р-н,Тайшетский,г,Бирюсинск,,,3801900200000,5b646190-2037-409f-bf0f-6fb8194a0581,4,0,25236508000,25636105001,3816,UTC+8,55.9609167,97.8205348,8981,1967
"Иркутская обл, г Бодайбо",666901,Россия,Сибирский,обл,Иркутская,,,г,Бодайбо,,,3800000600000,8ace6ae4-7a35-494a-bfbd-9a743a929c39,4,0,25202501000,25602101001,3808,UTC+8,57.8468636,114.1866287,15331,1864
"Иркутская обл, г Братск",665700,Россия,Сибирский,обл,Иркутская,,,г,Братск,,,3800000500000,bdf6b629-b33e-4cfa-b4b2-7f693e1d821c,4,0,25414000000,25714000001,3800,UTC+8,56.1513108,101.6340035,246348,1631
"Иркутская обл, Братский р-н, г Вихоревка",665770,Россия,Сибирский,обл,Иркутская,р-н,Братский,г,Вихоревка,,,3800500200000,04bc8726-0523-4aeb-8450-fe07ff425372,4,0,25204503000,25604103001,3805,UTC+8,56.1208145,101.1702926,22528,1957
"Иркутская обл, г Железногорск-Илимский",665650,Россия,Сибирский,обл,Иркутская,р-н,Нижнеилимский,г,Железногорск-Илимский,,,3801500100000,31ba5d12-ae5b-4cc0-8892-2a504423ee61,4,1,25226501000,25626101001,3805,UTC+8,56.5847888,104.114275,26134,1948
"Иркутская обл, г Зима",665382,Россия,Сибирский,обл,Иркутская,,,г,Зима,,,3800000700000,7c3452ac-3953-4b78-a80c-64ec839620a6,4,0,25420000000,25720000001,3814,UTC+8,53.920693,102.0491772,32522,1743
г Иркутск,664000,Россия,Сибирский,обл,Иркутская,,,г,Иркутск,,,3800000300000,8eeed222-72e7-47c3-ab3a-9a553c31cf72,4,2,25401000000,25701000001,3800,UTC+8,52.2864036,104.2807466,587225,1661
"Иркутская обл, г Киренск",666700,Россия,Сибирский,обл,Иркутская,р-н,Киренский,г,Киренск,,,3801200100000,1ea67233-631c-49bf-8d7c-1a17fc785e97,4,1,25220501000,25620101001,3818,UTC+8,57.7756595,108.1109412,12652,1630
"Иркутская обл, г Нижнеудинск",665100,Россия,Сибирский,обл,Иркутская,,,г,Нижнеудинск,,,3800000800000,5d596a21-da89-4820-91ef-6ce3940a0c9f,4,0,25228501000,25628101001,3816,UTC+8,54.8968931,99.0314056,37056,1648
"Иркутская обл, г Саянск",666300,Россия,Сибирский,обл,Иркутская,,,г,Саянск,,,3800000200000,c21b5e04-ce0f-4f98-b0ac-0ceabc531212,4,0,25426000000,25726000001,3814,UTC+8,54.1107238,102.18015,40786,1970
"Иркутская обл, г Свирск",665420,Россия,Сибирский,обл,Иркутская,,,г,Свирск,,,3800001600000,17e498bd-5f9e-4221-8998-5fa24a35ed2e,4,0,25427000000,25746000001,3851,UTC+8,53.0842668,103.3364093,13649,1800
"Иркутская обл, г Слюдянка",665902,Россия,Сибирский,обл,Иркутская,р-н,Слюдянский,г,Слюдянка,,,3801800100000,31802bef-b635-49b2-866d-1d1006e3081e,4,1,25234501000,25634101001,3810,UTC+8,51.6563983,103.7187545,18542,1899
"Иркутская обл, г Тайшет",665000,Россия,Сибирский,обл,Иркутская,,,г,Тайшет,,,3800000900000,945ac8e1-b529-4cec-afda-f92c6a6b0f70,4,0,25236501000,25636101001,3816,UTC+8,55.9405334,98.0030145,35481,1897
"Иркутская обл, г Тулун",665250,Россия,Сибирский,обл,Иркутская,,,г,Тулун,,,3800001000000,869c2c69-e8cd-43ae-9596-e0be50c0fcfe,4,0,25432000000,25732000001,3816,UTC+8,54.557162,100.5780603,44603,1735
"Иркутская обл, г Усолье-Сибирское",665450,Россия,Сибирский,обл,Иркутская,,,г,Усолье-Сибирское,,,3800001100000,ac680034-f7da-4bd8-8374-a5c97aa09516,4,0,25436000000,25736000001,3851,UTC+8,52.7565808,103.6388109,83364,1669
"Иркутская обл, г Усть-Илимск",666671,Россия,Сибирский,обл,Иркутская,,,г,Усть-Илимск,,,3800001200000,78d11295-77b5-4ac4-b128-582e2989c0a5,4,0,25438000000,25738000001,3817,UTC+8,57.9430504,102.7415734,86591,1966
"Иркутская обл, г Усть-Кут",666780,Россия,Сибирский,обл,Иркутская,,,г,Усть-Кут,,,3800001300000,cfb0a55a-3314-42bf-b3d8-5ed5368abdd6,4,0,25244501000,25644101001,3818,UTC+8,56.7928178,105.7757343,45061,1631
"Иркутская обл, г Черемхово",665400,Россия,Сибирский,обл,Иркутская,,,г,Черемхово,,,3800001400000,f05b68c4-f1c7-4c3d-b557-f1f44a57b85f,4,0,25445000000,25745000001,3851,UTC+8,53.1369095,103.0901268,52650,1772
"Иркутская обл, г Шелехов",666031,Россия,Сибирский,обл,Иркутская,,,г,Шелехов,,,3800001500000,c727ac3a-e05c-4b81-b8e1-9b1003c28595,4,0,25255501000,25655101001,3810,UTC+8,52.2102538,104.0973294,47960,1953
"Респ Кабардино-Балкарская, г Баксан",361500,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,,,г,Баксан,,,0700000300000,67851dfd-e142-451a-b6b1-ea5e9bc7f0c1,4,1,83403000000,83703000001,0718,UTC+3,43.6819137,43.5345036,36857,1891
"Респ Кабардино-Балкарская, г Майский",361110,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,р-н,Майский,г,Майский,,,0700400100000,e9f48c52-6cc4-47d9-ba6d-e7b12e8e0871,4,1,83220501000,83620101001,0716,UTC+3,43.6281516,44.0517314,26755,1800
г Нальчик,360000,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,,,г,Нальчик,,,0700000100000,913a82e3-b671-43d5-97b4-8a08b8ee2d28,4,2,83401000000,83701000001,0700,UTC+3,43.4845464,43.60713,240095,1724
"Респ Кабардино-Балкарская, г Нарткала",361330,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,р-н,Урванский,г,Нарткала,,,0700700100000,cb0f531d-4831-41c0-a859-3ad1f2e0f70b,4,1,83240501000,83640101001,0724,UTC+3,43.5578075,43.8575925,31679,1913
"Респ Кабардино-Балкарская, г Прохладный",361040,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,,,г,Прохладный,,,0700000200000,22973a33-7a1c-449d-9535-def88bd91ed3,4,0,83410000000,83710000001,0716,UTC+3,43.7589602,44.0102409,59595,1765
"Респ Кабардино-Балкарская, г Терек",361200,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,р-н,Терский,г,Терек,,,0700600100000,9886a048-8715-4526-80b1-2f0fd8dd7bdf,4,1,83235501000,83635101001,0724,UTC+3,43.4839358,44.1402161,19170,1876
"Респ Кабардино-Балкарская, г Тырныауз",361621,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,р-н,Эльбрусский,г,Тырныауз,,,0701000100000,e0ee885d-786e-457e-9568-2def04ee83b0,4,1,83248501000,83648101001,0720,UTC+3,43.3981585,42.9213582,21000,1934
"Респ Кабардино-Балкарская, г Чегем",361400,Россия,Северо-Кавказский,Респ,Кабардино-Балкарская,р-н,Чегемский,г,Чегем,,,0700800100000,17bfd906-04ef-45f2-abbb-fcf801d0ba84,4,1,83245501000,83645101001,0724,UTC+3,43.5671525,43.5865792,17988,1822
"Калининградская обл, г Багратионовск",238420,Россия,Северо-Западный,обл,Калининградская,р-н,Багратионовский,г,Багратионовск,,,3900200100000,427dc561-3277-43bd-a310-7c1953a3c8bd,4,1,27203501000,27703000001,3917,UTC+2,54.3866518,20.6418091,6399,1336
"Калининградская обл, г Балтийск",238520,Россия,Северо-Западный,обл,Калининградская,р-н,Балтийский,г,Балтийск,,,3901500100000,97323948-09db-411c-8e9a-43ad2ec25687,4,1,27405000000,27705000001,3917,UTC+2,54.6513372,19.9140572,32670,1626
"Калининградская обл, г Гвардейск",238210,Россия,Северо-Западный,обл,Калининградская,р-н,Гвардейский,г,Гвардейск,,,3900300100000,8f9e9cc0-711f-470a-9fff-2a65c00c8439,4,1,27206501000,27706000001,3917,UTC+2,54.6588378,21.0501388,13888,1255
"Калининградская обл, г Гурьевск",238300,Россия,Северо-Западный,обл,Калининградская,р-н,Гурьевский,г,Гурьевск,,,3900400100000,27bc7f09-4593-4972-950b-231f2a49d44b,4,1,27209501000,27707000001,3917,UTC+2,54.770638,20.6039767,12433,1262
"Калининградская обл, г Гусев",238050,Россия,Северо-Западный,обл,Калининградская,р-н,Гусевский,г,Гусев,,,3900500100000,66cb21da-0212-4d22-a2a3-f1badcd3a9d4,4,1,27212501000,27709000001,3914,UTC+2,54.5915455,22.1942445,28260,1500
"Калининградская обл, г Зеленоградск",238326,Россия,Северо-Западный,обл,Калининградская,р-н,Зеленоградский,г,Зеленоградск,,,3900600100000,448d8a42-8ebf-4ca5-a9f2-98efb532630f,4,1,27215501000,27710000001,3917,UTC+2,54.9600185,20.4753652,13015,1252
г Калининград,236001,Россия,Северо-Западный,обл,Калининградская,,,г,Калининград,,,3900000100000,df679694-d505-4dd3-b514-4ba48c8a97d8,4,2,27401000000,27701000001,3905,UTC+2,54.7074702,20.5073241,431491,1255
"Калининградская обл, г Краснознаменск",238730,Россия,Северо-Западный,обл,Калининградская,р-н,Краснознаменский,г,Краснознаменск,,,3900700100000,40c2a58b-8f84-4b30-8a22-038efe4f059a,4,1,27218501000,27713000001,3914,UTC+2,54.9453423,22.4928745,3522,1576
"Калининградская обл, г Ладушкин",238460,Россия,Северо-Западный,обл,Калининградская,,,г,Ладушкин,,,3900000800000,04950f38-5c4c-4989-8b7a-6224795a2b59,4,0,27203505000,27711000001,3917,UTC+2,54.5692156,20.1690153,3788,1314
"Калининградская обл, г Мамоново",238450,Россия,Северо-Западный,обл,Калининградская,,,г,Мамоново,,,3900000900000,2942ef2d-01b0-4137-8f46-5228e9eedd7f,4,0,27203510000,27712000001,3917,UTC+2,54.4646036,19.9453482,7757,1301
"Калининградская обл, г Неман",238710,Россия,Северо-Западный,обл,Калининградская,р-н,Неманский,г,Неман,,,3900800100000,180fcdbd-95b4-41f5-90f5-cbe9b9c83da7,4,1,27221501000,27714000001,3914,UTC+2,55.0316524,22.0324064,11794,1277
"Калининградская обл, г Нестеров",238010,Россия,Северо-Западный,обл,Калининградская,р-н,Нестеровский,г,Нестеров,,,3900900100000,4fb71afc-f221-454e-9edf-d6fd9ee07418,4,1,27224501000,27715000001,3914,UTC+2,54.6313814,22.5713736,4584,1539
"Калининградская обл, г Озерск",238120,Россия,Северо-Западный,обл,Калининградская,р-н,Озерский,г,Озерск,,,3901000100000,19620317-39e8-4a09-af7e-67b136ef61fe,4,1,27227501000,27716000001,3914,UTC+2,54.4084705,22.0134438,4740,1539
"Калининградская обл, г Пионерский",238590,Россия,Северо-Западный,обл,Калининградская,,,г,Пионерский,,,3900000300000,9fee1c1b-9d14-42ea-8ff9-2e903501d43d,4,0,27417000000,27717000001,3917,UTC+2,54.9516574,20.2277424,11017,1254
"Калининградская обл, г Полесск",238630,Россия,Северо-Западный,обл,Калининградская,р-н,Полесский,г,Полесск,,,3901100100000,27fd5628-fbd7-4641-abed-b213af6029b8,4,1,27230501000,27718000001,3917,UTC+2,54.8625126,21.0998067,7580,1258
"Калининградская обл, г Правдинск",238400,Россия,Северо-Западный,обл,Калининградская,р-н,Правдинский,г,Правдинск,,,3901200100000,2b3f4c49-0e5b-44c8-bf56-a335eb551c23,4,1,27233501000,27719000001,3917,UTC+2,54.4430986,21.0085269,4323,1312
"Калининградская обл, Балтийский р-н, г Приморск",238510,Россия,Северо-Западный,обл,Калининградская,р-н,Балтийский,г,Приморск,,,3901500200000,5f19f5f2-55b1-4796-9610-8a73eeefcaf1,4,0,27405555000,27705000006,3917,UTC+2,54.7311437,19.9981926,1956,1268
"Калининградская обл, г Светлогорск",238560,Россия,Северо-Западный,обл,Калининградская,р-н,Светлогорский,г,Светлогорск,,,3901600100000,19436029-357a-435b-8156-b01fba4ea8a5,4,1,27420000000,27734000001,3917,UTC+2,54.9439286,20.1514295,10775,1258
"Калининградская обл, г Светлый",238340,Россия,Северо-Западный,обл,Калининградская,,,г,Светлый,,,3900000600000,6d379259-b8d5-4cca-9412-1ded0849fd1a,4,0,27425000000,27725000001,3917,UTC+2,54.6772897,20.1357595,21380,1640
"Калининградская обл, г Славск",238600,Россия,Северо-Западный,обл,Калининградская,р-н,Славский,г,Славск,,,3901300100000,f731c104-431c-494c-b4e8-f97ccaaf71b9,4,1,27236501000,27727000001,3914,UTC+2,55.0449714,21.6742367,4614,1292
"Калининградская обл, г Советск",238750,Россия,Северо-Западный,обл,Калининградская,,,г,Советск,,,3900000700000,e401208f-3469-403f-910b-bba057cf70b2,4,0,27430000000,27730000001,3914,UTC+2,55.0809336,21.8886106,41709,1288
"Калининградская обл, г Черняховск",238150,Россия,Северо-Западный,обл,Калининградская,р-н,Черняховский,г,Черняховск,,,3901400100000,acde8f61-fd56-4cec-a4df-1f033e2a63ee,4,1,27239501000,27739000001,3914,UTC+2,54.6244751,21.7969062,40464,1336
"Респ Калмыкия, г Городовиковск",359050,Россия,Южный,Респ,Калмыкия,р-н,Городовиковский,г,Городовиковск,,,0800200100000,ae5ed160-39e8-46b7-ac27-d858e7032877,4,1,85205501000,85605101001,0800,UTC+3,46.0875083,41.935537,9565,1872
"Респ Калмыкия, г Лагань",359220,Россия,Южный,Респ,Калмыкия,р-н,Лаганский,г,Лагань,,,0800600100000,808f71cf-e9f9-4fe8-ab93-2b6326ebbd8e,4,1,85215501000,85615101,0800,UTC+3,45.3930912,47.3432602,14323,1870
г Элиста,358000,Россия,Южный,Респ,Калмыкия,,,г,Элиста,,,0800000100000,d5bd18b9-22c1-48e2-9b4a-3b7a4c89a3cb,4,2,85401000000,85701000001,0800,UTC+3,46.3083344,44.2702088,103728,1865
